"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D1";"D_DO-15_P10.16mm_Horizontal";1;"D_Schottky";;;
2;"U1";"ESP32-DIP-38_1000_ELL";1;"ESP32NODEMCU";;;
3;"J9";"PinHeader_1x04_P2.54mm_Vertical";1;"RTC";;;
4;"J8";"PinHeader_1x03_P2.54mm_Vertical";1;"- Buz +";;;
5;"J7";"PinHeader_1x05_P2.54mm_Vertical";1;"- Controller 2";;;
6;"J6";"PinHeader_1x05_P2.54mm_Vertical";1;"- Controller 1";;;
7;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"- Power +";;;
8;"J5";"TerminalBlock_Phoenix_MKDS-3-4-5.08_1x04_P5.08mm_Horizontal";1;"+  +  Power  -  -";;;
9;"J1";"BarrelJack_Horizontal";1;"Power";;;
10;"J4";"PinHeader_2x08_P2.54mm_Vertical";1;"JOUT";;;
11;"J2";"PinSocket_2x08_P2.54mm_Vertical";1;"JIN";;;
